Follower Athlete ID,Follow Status,Created At
66514780,Accepted,"Jan 1, 2021, 8:46:15 PM"
41877635,Accepted,"Jan 23, 2021, 10:21:04 PM"
82093548,Accepted,"Apr 2, 2021, 9:53:15 PM"
39475990,Accepted,"Apr 6, 2021, 12:37:37 AM"
61058782,Accepted,"Apr 6, 2021, 1:00:10 PM"
76210807,Accepted,"Apr 6, 2021, 8:03:44 PM"
34858986,Accepted,"Apr 12, 2021, 2:59:22 AM"
62771077,Accepted,"Apr 21, 2021, 10:22:15 AM"
26427868,Accepted,"Jun 7, 2021, 1:44:58 AM"
88369335,Accepted,"Jul 5, 2021, 7:47:36 PM"
47169848,Accepted,"Jul 11, 2021, 11:37:43 PM"
6020748,Accepted,"Jul 23, 2021, 1:52:02 PM"
60459168,Accepted,"Aug 4, 2021, 3:55:13 PM"
13411229,Accepted,"Aug 23, 2021, 11:59:41 AM"
25388709,Accepted,"Sep 19, 2021, 4:38:29 PM"
5211286,Accepted,"Oct 20, 2021, 1:35:14 AM"
17816067,Accepted,"Nov 11, 2021, 11:06:41 PM"
